Request ID,User Dept,Tool,Input Type,Outcome,Allowed
0,HR,src_timestream-for-influxdb-mcp-server_awslabs_timestream_for_influxdb_mcp_server_server.CreateDbCluster,Allowed,Allowed,True
1,HR,customer-support-mcp-server.search_users,Allowed,Allowed,True
2,HR,src_amazon-keyspaces-mcp-server_awslabs_amazon_keyspaces_mcp_server_server.describeKeyspace,Allowed,Allowed,True
3,HR,identity-mcp-server.revoke_user_sessions,NoCapabilityToken,NoCapabilityToken,False
4,Engineering,enterprise-crm-mcp-server.schedule_meeting,NoCapabilityToken,NoCapabilityToken,False
5,HR,file-storage-mcp-server.list_revisions,Allowed,Allowed,True
6,Legal,analytics-mcp-server.validate_model,Allowed,Allowed,True
7,Legal,project-management-mcp-server.add_watcher,Allowed,Allowed,True
8,HR,payments-mcp-server.get_subscription,Allowed,Allowed,True
9,Sales,src_amazon-keyspaces-mcp-server_awslabs_amazon_keyspaces_mcp_server_server.analyzeQueryPerformance,Allowed,Allowed,True
10,Engineering,payments-mcp-server.delete_coupon,Allowed,Allowed,True
11,HR,analytics-mcp-server.list_dashboards,Allowed,Allowed,True
12,Engineering,analytics-mcp-server.refresh_dashboard,NoCapabilityToken,NoCapabilityToken,False
13,HR,customer-support-mcp-server.search_users,Allowed,Allowed,True
14,HR,customer-support-mcp-server.search_articles,Allowed,Allowed,True
15,Legal,customer-support-mcp-server.assign_ticket,Allowed,Allowed,True
16,Legal,enterprise-crm-mcp-server.update_opportunity_stage,Allowed,Allowed,True
17,Legal,file-storage-mcp-server.move_file,ConstraintViolation,ConstraintViolation,False
18,Legal,hr-management-mcp-server.get_employment_history,Allowed,Allowed,True
19,Legal,devops-mcp-server.retry_pipeline,Allowed,Allowed,True
20,HR,devops-mcp-server.set_secret,Allowed,Allowed,True
21,HR,communication-mcp-server.edit_message,Allowed,Allowed,True
22,Legal,project-management-mcp-server.add_watcher,Allowed,Allowed,True
23,Legal,project-management-mcp-server.add_watcher,Allowed,Allowed,True
24,Sales,payments-mcp-server.create_customer,ConstraintViolation,ConstraintViolation,False
25,Legal,hr-management-mcp-server.search_employees,Allowed,Allowed,True
26,Legal,hr-management-mcp-server.search_employees,ConstraintViolation,ConstraintViolation,False
27,Sales,communication-mcp-server.get_reactions,ConstraintViolation,Allowed,True
28,Engineering,devops-mcp-server.plan_infrastructure,Allowed,Allowed,True
29,Legal,file-storage-mcp-server.create_shared_drive,Allowed,Allowed,True
30,Engineering,analytics-mcp-server.download_export,ConstraintViolation,Allowed,True
31,HR,file-storage-mcp-server.list_revisions,Allowed,Allowed,True
32,Legal,customer-support-mcp-server.start_chat_session,Allowed,Allowed,True
33,HR,payments-mcp-server.create_refund,Allowed,Allowed,True
34,Legal,analytics-mcp-server.duplicate_dashboard,ConstraintViolation,ConstraintViolation,False
35,Legal,analytics-mcp-server.get_report_history,NoCapabilityToken,NoCapabilityToken,False
36,Legal,analytics-mcp-server.duplicate_dashboard,Allowed,Allowed,True
37,Engineering,payments-mcp-server.delete_coupon,Allowed,Allowed,True
38,HR,enterprise-crm-mcp-server.update_opportunity_stage,Allowed,Allowed,True
39,HR,ESP-RainMaker-MCP.login_instructions,Allowed,Allowed,True
40,Engineering,communication-mcp-server.update_user_group,NoCapabilityToken,Allowed,True
41,Engineering,communication-mcp-server.invite_to_channel,Allowed,Allowed,True
42,Engineering,file-storage-mcp-server.empty_trash,Allowed,Allowed,True
43,Sales,analytics-mcp-server.create_report_schedule,Allowed,Allowed,True
44,Legal,devops-mcp-server.retry_pipeline,Allowed,Allowed,True
45,HR,gdrive-mcp-server.get_file_metadata,Allowed,Allowed,True
46,Legal,hr-management-mcp-server.get_employment_history,ConstraintViolation,Allowed,True
47,HR,payments-mcp-server.create_refund,Allowed,Allowed,True
48,Engineering,project-management-mcp-server.get_issue_transitions,NoCapabilityToken,NoCapabilityToken,False
49,HR,customer-support-mcp-server.search_users,Allowed,Allowed,True
50,Engineering,file-storage-mcp-server.empty_trash,ConstraintViolation,ConstraintViolation,False
51,Engineering,file-storage-mcp-server.empty_trash,Allowed,Allowed,True
52,HR,gdrive-mcp-server.get_file_metadata,Allowed,Allowed,True
